Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_D3.0mm",157.800000,-107.025000,180.000000,top
"J1","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",171.950000,-79.820000,0.000000,top
"J2","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",172.025000,-109.145000,0.000000,top
"J3","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",103.825000,-110.485000,0.000000,top
"J4","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",103.850000,-80.545000,0.000000,top
"J5","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",118.500000,-84.100000,0.000000,top
"J6","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",118.500000,-109.385000,0.000000,top
"J7","Conn_01x08_Socket","PinSocket_1x08_P2.54mm_Vertical",130.075000,-101.950000,90.000000,top
"R1","220","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",161.900000,-106.905000,-90.000000,top
"U1","ESP32_DevKit_V1_DOIT","esp32_devkit_v1_doit",138.875000,-76.445000,0.000000,top
